,0,1
10-15.smt2,0.038,sat
10-21.smt2,0.038,sat
10-28.smt2,0.039,sat
10-29.smt2,0.032,sat
10-30.smt2,0.042,sat
10-3.smt2,0.037,sat
10-31.smt2,0.036,sat
10-35.smt2,0.044,sat
10-4.smt2,0.038,sat
10-34.smt2,0.034,sat
10-9.smt2,0.036,sat
10-36.smt2,0.046,sat
10-37.smt2,0.046,sat
10-41.smt2,0.042,sat
10-40.smt2,0.04,sat
10-45.smt2,0.04,sat
15-10.smt2,0.04,sat
15-11.smt2,0.039,sat
15-12.smt2,0.054,sat
15-1.smt2,0.032,sat
15-14.smt2,0.033,sat
15-13.smt2,0.041,sat
15-3.smt2,0.042,sat
15-2.smt2,0.042,sat
15-15.smt2,0.045,sat
15-5.smt2,0.034,sat
15-4.smt2,0.04,sat
15-18.smt2,0.038,sat
15-17.smt2,0.053,sat
15-20.smt2,0.037,sat
15-7.smt2,0.033,sat
15-19.smt2,0.035,sat
15-8.smt2,0.039,sat
15-6.smt2,0.038,sat
15-9.smt2,0.039,sat
15-21.smt2,0.039,sat
20-10.smt2,0.042,sat
20-1.smt2,0.039,sat
20-11.smt2,0.042,sat
20-12.smt2,0.044,sat
20-2.smt2,0.033,sat
20-16.smt2,0.036,sat
20-5.smt2,0.042,sat
20-3.smt2,0.04,sat
20-4.smt2,0.04,sat
20-6.smt2,0.033,sat
20-22.smt2,0.036,sat
20-13.smt2,0.036,sat
20-19.smt2,0.059,sat
20-8.smt2,0.037,sat
20-17.smt2,0.05,sat
20-7.smt2,0.036,sat
20-15.smt2,0.036,sat
20-20.smt2,0.047,sat
20-9.smt2,0.039,sat
20-26.smt2,0.041,sat
20-21.smt2,0.04,sat
25-10.smt2,0.041,sat
20-24.smt2,0.035,sat
20-28.smt2,0.054,sat
20-30.smt2,0.055,sat
25-11.smt2,0.037,sat
25-1.smt2,0.041,sat
25-13.smt2,0.035,sat
25-14.smt2,0.037,sat
25-12.smt2,0.041,sat
25-15.smt2,0.039,sat
25-3.smt2,0.033,sat
25-18.smt2,0.036,sat
25-2.smt2,0.041,sat
25-4.smt2,0.038,sat
25-16.smt2,0.041,sat
25-5.smt2,0.035,sat
25-20.smt2,0.042,sat
25-17.smt2,0.04,sat
25-19.smt2,0.04,sat
25-7.smt2,0.041,sat
25-8.smt2,0.034,sat
25-21.smt2,0.049,sat
25-9.smt2,0.041,sat
25-6.smt2,0.035,sat
25-25.smt2,0.042,sat
30-10.smt2,0.045,sat
25-23.smt2,0.054,sat
30-1.smt2,0.035,sat
25-26.smt2,0.043,sat
25-24.smt2,0.037,sat
25-30.smt2,0.04,sat
30-12.smt2,0.037,sat
25-27.smt2,0.081,sat
30-11.smt2,0.036,sat
30-14.smt2,0.036,sat
30-13.smt2,0.04,sat
25-28.smt2,0.091,sat
30-15.smt2,0.041,sat
25-35.smt2,0.078,sat
30-2.smt2,0.047,sat
25-29.smt2,0.07,sat
25-33.smt2,0.225,sat
30-5.smt2,0.04,sat
30-17.smt2,0.038,sat
30-19.smt2,0.035,sat
30-3.smt2,0.039,sat
30-20.smt2,0.04,sat
30-4.smt2,0.036,sat
30-18.smt2,0.04,sat
30-6.smt2,0.042,sat
30-7.smt2,0.041,sat
30-16.smt2,0.039,sat
30-24.smt2,0.047,sat
30-8.smt2,0.043,sat
30-9.smt2,0.038,sat
30-22.smt2,0.048,sat
35-1.smt2,0.049,sat
30-25.smt2,0.043,sat
30-29.smt2,0.048,sat
30-23.smt2,0.041,sat
30-21.smt2,0.049,sat
35-11.smt2,0.042,sat
35-12.smt2,0.043,sat
35-10.smt2,0.037,sat
30-27.smt2,0.055,sat
30-28.smt2,0.112,sat
35-13.smt2,0.04,sat
30-26.smt2,0.061,sat
35-15.smt2,0.039,sat
30-35.smt2,0.093,sat
35-14.smt2,0.046,sat
30-33.smt2,0.09,sat
30-30.smt2,0.05,sat
30-34.smt2,0.097,sat
35-2.smt2,0.039,sat
35-18.smt2,0.052,sat
35-17.smt2,0.039,sat
35-5.smt2,0.047,sat
35-3.smt2,0.047,sat
35-20.smt2,0.044,sat
35-4.smt2,0.042,sat
35-19.smt2,0.052,sat
35-6.smt2,0.042,sat
35-16.smt2,0.043,sat
35-9.smt2,0.045,sat
30-31.smt2,0.067,sat
35-21.smt2,0.267,sat
35-8.smt2,0.035,sat
35-25.smt2,0.043,sat
40-10.smt2,0.046,sat
35-22.smt2,0.037,sat
35-24.smt2,0.068,sat
35-7.smt2,0.044,sat
35-23.smt2,0.039,sat
35-27.smt2,0.038,sat
40-1.smt2,0.043,sat
35-28.smt2,0.04,sat
40-2.smt2,0.046,sat
40-15.smt2,0.034,sat
40-14.smt2,0.035,sat
40-11.smt2,0.041,sat
35-26.smt2,0.056,sat
40-13.smt2,0.043,sat
40-4.smt2,0.042,sat
40-3.smt2,0.041,sat
40-5.smt2,0.04,sat
35-30.smt2,0.04,sat
40-18.smt2,0.03,sat
40-16.smt2,0.047,sat
35-33.smt2,0.038,sat
40-12.smt2,0.044,sat
40-17.smt2,0.037,sat
35-29.smt2,0.043,sat
35-32.smt2,0.069,sat
35-34.smt2,0.061,sat
35-31.smt2,0.051,sat
40-21.smt2,0.037,sat
40-7.smt2,0.039,sat
40-9.smt2,0.037,sat
40-6.smt2,0.039,sat
40-8.smt2,0.038,sat
40-20.smt2,0.041,sat
35-35.smt2,0.043,sat
40-25.smt2,0.03,sat
45-14.smt2,0.031,sat
45-13.smt2,0.034,sat
45-1.smt2,0.04,sat
40-24.smt2,0.05,sat
45-2.smt2,0.034,sat
45-3.smt2,0.04,sat
40-19.smt2,0.035,sat
40-30.smt2,0.044,sat
40-23.smt2,0.034,sat
45-5.smt2,0.036,sat
45-6.smt2,0.033,sat
40-29.smt2,0.037,sat
45-18.smt2,0.046,sat
40-27.smt2,0.032,sat
45-10.smt2,0.04,sat
40-28.smt2,0.059,sat
40-31.smt2,0.034,sat
45-9.smt2,0.039,sat
45-20.smt2,0.04,sat
45-8.smt2,0.038,sat
45-7.smt2,0.037,sat
40-34.smt2,0.052,sat
45-17.smt2,0.037,sat
45-22.smt2,0.035,sat
40-22.smt2,0.041,sat
40-33.smt2,0.069,sat
45-12.smt2,0.038,sat
45-4.smt2,0.033,sat
45-11.smt2,0.043,sat
45-23.smt2,0.038,sat
45-27.smt2,0.031,sat
45-21.smt2,0.038,sat
40-35.smt2,0.037,sat
45-24.smt2,0.038,sat
45-15.smt2,0.035,sat
40-26.smt2,0.038,sat
45-25.smt2,0.039,sat
45-16.smt2,0.04,sat
45-19.smt2,0.035,sat
45-30.smt2,0.038,sat
45-29.smt2,0.038,sat
45-26.smt2,0.038,sat
45-28.smt2,0.048,sat
40-32.smt2,0.112,sat
45-35.smt2,0.041,sat
45-33.smt2,0.036,sat
45-32.smt2,0.042,sat
45-31.smt2,0.029,sat
45-34.smt2,0.063,sat
