,0,1
prime_cone_sat_10.smt2,0.057,sat
prime_cone_sat_11.smt2,0.088,sat
prime_cone_sat_12.smt2,0.062,sat
prime_cone_sat_13.smt2,0.113,sat
prime_cone_sat_14.smt2,0.099,sat
prime_cone_sat_15.smt2,0.123,sat
prime_cone_sat_16.smt2,0.104,sat
prime_cone_sat_17.smt2,0.16,sat
prime_cone_sat_18.smt2,0.143,sat
prime_cone_sat_19.smt2,0.138,sat
prime_cone_sat_20.smt2,0.146,sat
prime_cone_sat_2.smt2,0.038,sat
prime_cone_sat_3.smt2,0.049,sat
prime_cone_sat_4.smt2,0.051,sat
prime_cone_sat_5.smt2,0.046,sat
prime_cone_sat_6.smt2,0.052,sat
prime_cone_sat_7.smt2,0.05,sat
prime_cone_sat_8.smt2,0.051,sat
prime_cone_sat_9.smt2,0.091,sat
