,0,1
10-12.slack.smt2,0.042,sat
10-13.slack.smt2,0.039,sat
10-20.slack.smt2,0.034,sat
10-21.slack.smt2,0.035,sat
10-29.slack.smt2,0.042,sat
10-30.slack.smt2,0.039,sat
10-28.slack.smt2,0.041,sat
10-31.slack.smt2,0.041,sat
10-4.slack.smt2,0.037,sat
10-36.slack.smt2,0.032,sat
10-34.slack.smt2,0.039,sat
10-35.slack.smt2,0.04,sat
10-37.slack.smt2,0.04,sat
10-41.slack.smt2,0.045,sat
10-40.slack.smt2,0.043,sat
10-45.slack.smt2,0.034,sat
15-10.slack.smt2,0.036,sat
15-3.slack.smt2,0.035,sat
15-1.slack.smt2,0.044,sat
15-2.slack.smt2,0.037,sat
15-5.slack.smt2,0.04,sat
15-4.slack.smt2,0.034,sat
15-11.slack.smt2,0.051,sat
15-12.slack.smt2,0.065,sat
15-15.slack.smt2,0.043,sat
15-18.slack.smt2,0.041,sat
15-8.slack.smt2,0.045,sat
15-13.slack.smt2,0.043,sat
15-7.slack.smt2,0.044,sat
15-6.slack.smt2,0.044,sat
15-14.slack.smt2,0.036,sat
15-19.slack.smt2,0.047,sat
15-17.slack.smt2,0.069,sat
15-9.slack.smt2,0.042,sat
15-20.slack.smt2,0.043,sat
15-21.slack.smt2,0.048,sat
20-10.slack.smt2,0.039,sat
20-2.slack.smt2,0.039,sat
20-11.slack.smt2,0.057,sat
20-1.slack.smt2,0.038,sat
20-3.slack.smt2,0.055,sat
20-5.slack.smt2,0.055,sat
20-14.slack.smt2,0.211,unsat
20-13.slack.smt2,0.042,sat
20-4.slack.smt2,0.058,sat
20-12.slack.smt2,0.044,sat
20-8.slack.smt2,0.052,sat
20-22.slack.smt2,0.042,sat
20-7.slack.smt2,0.052,sat
20-19.slack.smt2,0.058,sat
20-16.slack.smt2,0.042,sat
20-9.slack.smt2,0.047,sat
20-15.slack.smt2,0.049,sat
20-6.slack.smt2,0.056,sat
20-17.slack.smt2,0.059,sat
25-1.slack.smt2,0.045,sat
25-10.slack.smt2,0.049,sat
25-13.slack.smt2,0.049,sat
20-20.slack.smt2,0.038,sat
20-28.slack.smt2,0.089,sat
25-5.slack.smt2,0.053,sat
25-14.slack.smt2,0.045,sat
20-21.slack.smt2,0.053,sat
